,index,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_name
72,6jNI7IkIh8u4tUmnI37GwQ,0.843,0.736,0,-7.121,1,0.11,0.362,0,0.148,0.437,109.999,audio_features,6jNI7IkIh8u4tUmnI37GwQ,spotify:track:6jNI7IkIh8u4tUmnI37GwQ,https://api.spotify.com/v1/tracks/6jNI7IkIh8u4tUmnI37GwQ,https://api.spotify.com/v1/audio-analysis/6jNI7IkIh8u4tUmnI37GwQ,190862,4,American Banned
73,2oJEJ7XtF2U0q82TtXsEIa,0.485,0.7,7,-6.009,1,0.0476,0.0191,0.00127,0.207,0.227,169.953,audio_features,2oJEJ7XtF2U0q82TtXsEIa,spotify:track:2oJEJ7XtF2U0q82TtXsEIa,https://api.spotify.com/v1/tracks/2oJEJ7XtF2U0q82TtXsEIa,https://api.spotify.com/v1/audio-analysis/2oJEJ7XtF2U0q82TtXsEIa,211416,4,Pass The Ammo
74,2dcHsvHZ0z8kat3hSMsqtM,0.681,0.796,11,-4.825,0,0.241,0.0655,0,0.0949,0.636,189.96,audio_features,2dcHsvHZ0z8kat3hSMsqtM,spotify:track:2dcHsvHZ0z8kat3hSMsqtM,https://api.spotify.com/v1/tracks/2dcHsvHZ0z8kat3hSMsqtM,https://api.spotify.com/v1/audio-analysis/2dcHsvHZ0z8kat3hSMsqtM,215233,4,Outback
75,5JeKjC5kKWQOjKG5sUkLnk,0.635,0.928,2,-4.337,1,0.0733,0.0256,0,0.142,0.851,91.989,audio_features,5JeKjC5kKWQOjKG5sUkLnk,spotify:track:5JeKjC5kKWQOjKG5sUkLnk,https://api.spotify.com/v1/tracks/5JeKjC5kKWQOjKG5sUkLnk,https://api.spotify.com/v1/audio-analysis/5JeKjC5kKWQOjKG5sUkLnk,201590,4,Step
76,5V3R9V14BYEykkxcKAkWYz,0.77,0.903,1,-5.591,0,0.17,0.266,0,0.111,0.627,100.024,audio_features,5V3R9V14BYEykkxcKAkWYz,spotify:track:5V3R9V14BYEykkxcKAkWYz,https://api.spotify.com/v1/tracks/5V3R9V14BYEykkxcKAkWYz,https://api.spotify.com/v1/audio-analysis/5V3R9V14BYEykkxcKAkWYz,233552,4,Full Throttle (Remix)
77,5ycmDZVfvCFRIwALkTFwbb,0.793,0.789,11,-4.845,0,0.181,0.0587,0,0.101,0.615,95.017,audio_features,5ycmDZVfvCFRIwALkTFwbb,spotify:track:5ycmDZVfvCFRIwALkTFwbb,https://api.spotify.com/v1/tracks/5ycmDZVfvCFRIwALkTFwbb,https://api.spotify.com/v1/audio-analysis/5ycmDZVfvCFRIwALkTFwbb,489361,4,Outback (Extended Remix)
78,6QlTbqgYFfSn0PkLhU4luz,0.702,0.874,2,-5.776,1,0.0751,0.0998,1.88e-05,0.0456,0.731,140.109,audio_features,6QlTbqgYFfSn0PkLhU4luz,spotify:track:6QlTbqgYFfSn0PkLhU4luz,https://api.spotify.com/v1/tracks/6QlTbqgYFfSn0PkLhU4luz,https://api.spotify.com/v1/audio-analysis/6QlTbqgYFfSn0PkLhU4luz,194387,4,The Moon Shines
79,5yi2lmx6PKh73i7Ksh872R,0.615,0.793,2,-5.448,1,0.108,0.0459,0,0.0641,0.729,85.034,audio_features,5yi2lmx6PKh73i7Ksh872R,spotify:track:5yi2lmx6PKh73i7Ksh872R,https://api.spotify.com/v1/tracks/5yi2lmx6PKh73i7Ksh872R,https://api.spotify.com/v1/audio-analysis/5yi2lmx6PKh73i7Ksh872R,245227,4,Throwdown
80,7MX1eTzaDy8h1FJNX1kUzX,0.573,0.838,2,-5.294,1,0.148,0.0066,3.28e-06,0.179,0.623,90.008,audio_features,7MX1eTzaDy8h1FJNX1kUzX,spotify:track:7MX1eTzaDy8h1FJNX1kUzX,https://api.spotify.com/v1/tracks/7MX1eTzaDy8h1FJNX1kUzX,https://api.spotify.com/v1/audio-analysis/7MX1eTzaDy8h1FJNX1kUzX,239053,4,Burn
81,6IsBHX9Vx5T1PvMVvtiMUy,0.721,0.944,8,-5.982,1,0.159,0.013,0,0.32,0.626,85.002,audio_features,6IsBHX9Vx5T1PvMVvtiMUy,spotify:track:6IsBHX9Vx5T1PvMVvtiMUy,https://api.spotify.com/v1/tracks/6IsBHX9Vx5T1PvMVvtiMUy,https://api.spotify.com/v1/audio-analysis/6IsBHX9Vx5T1PvMVvtiMUy,262760,4,We All Country
